Workload,Operation
SecurityComplianceCenter,AuditSearchCompleted
SecurityComplianceCenter,"New-LabelPolicy"
SecurityComplianceCenter,"New-AutoSensitivityLabelPolicy"
SecurityComplianceCenter,AuditSearchExportJobCreated
SecurityComplianceCenter,"Set-Label"
SecurityComplianceCenter,"New-AutoSensitivityLabelRule"
SecurityComplianceCenter,AlertEntityGenerated
SecurityComplianceCenter,AlertTriggered
SecurityComplianceCenter,"Get-AutoSensitivityLabelPolicy"
SecurityComplianceCenter,"Get-QuarantineMessage"
SecurityComplianceCenter,"Get-DlpComplianceRule"
SecurityComplianceCenter,"Get-DlpCompliancePolicy"
SecurityComplianceCenter,"Get-PolicyConfig"
SecurityComplianceCenter,"Set-LabelPolicy"
SharePoint,SiteDeleted
SharePoint,FolderCreated
SharePoint,ListColumnUpdated
SharePoint,SiteIBModeSet
SharePoint,SiteIBModeChanged
SharePoint,ListCreated
SharePoint,AddedToGroup
SharePoint,ListUpdated
SharePoint,FolderModified
SharePoint,FileAccessed
SharePoint,SignInEvent
SharePoint,PageViewed
SharePoint,SiteCollectionCreated
SharePoint,SiteCollectionQuotaModified
SharePoint,SiteLocksChanged
SharePoint,ListItemCreated
URBAC,UpdateRole
URBAC,DeleteAssignment
URBAC,CreateAssignment
URBAC,DeleteRole
URBAC,CreateRole
Yammer,ThreadViewed
Yammer,MessageCreation
